127.0.0.1 - - [11/Nov/2016:01:04:40 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:04:42 +0530] "GET /SmartHealthweb/ HTTP/1.1" 200 18145
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:04:42 +0530] "GET /SmartHealthweb/ratePost HTTP/1.1" 500 1417
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:05:44 +0530] "POST /SmartHealthweb/register HTTP/1.1" 200 9607
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:05:44 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:05:44 +0530] "GET /SmartHealthweb/firstpage.jsp HTTP/1.1" 200 18145
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:05:51 +0530] "POST /SmartHealthweb/loginservlet HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:05:53 +0530] "GET /SmartHealthweb/firstpage.jsp HTTP/1.1" 200 18145
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:06:53 +0530] "POST /SmartHealthweb/loginservlet HTTP/1.1" 200 8781
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:06:53 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:08:34 +0530] "GET /SmartHealthweb/logoutservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:08:34 +0530] "GET /SmartHealthweb/firstpage.jsp HTTP/1.1" 200 18145
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:08:44 +0530] "POST /SmartHealthweb/loginservlet HTTP/1.1" 200 8781
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:08:44 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:08:58 +0530] "POST /SmartHealthweb/update HTTP/1.1" 200 8785
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:08:58 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:09:15 +0530] "POST /SmartHealthweb/update HTTP/1.1" 200 8785
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:09:15 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:10:31 +0530] "GET /SmartHealthweb/logoutservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:10:31 +0530] "GET /SmartHealthweb/firstpage.jsp HTTP/1.1" 200 18145
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:10:42 +0530] "POST /SmartHealthweb/loginservlet HTTP/1.1" 200 9530
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:10:42 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:10:53 +0530] "POST /SmartHealthweb/update HTTP/1.1" 200 9535
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:10:53 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:15:52 +0530] "GET /SmartHealthweb/logoutservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:15:52 +0530] "GET /SmartHealthweb/firstpage.jsp HTTP/1.1" 200 18145
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:16:00 +0530] "POST /SmartHealthweb/loginservlet HTTP/1.1" 200 9530
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:16:00 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:23:40 +0530] "GET /SmartHealthweb/GetAllForum HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [11/Nov/2016:01:25:08 +0530] "GET /SmartHealthweb/GetAllForum HTTP/1.1" 200 5102
